min,max,single,married_filing_jointly,married_filing_separately,head_of_household
68700,68750,10910,7852,10910,9468
68750,68800,10921,7858,10921,9479
68800,68850,10932,7864,10932,9490
68850,68900,10943,7870,10943,9501
68900,68950,10954,7876,10954,9512
68950,69000,10965,7882,10965,9523
69000,69050,10976,7888,10976,9534
69050,69100,10987,7894,10987,9545
69100,69150,10998,7900,10998,9556
69150,69200,11009,7906,11009,9567
69200,69250,11020,7912,11020,9578
69250,69300,11031,7918,11031,9589
69300,69350,11042,7924,11042,9600
69350,69400,11053,7930,11053,9611
69400,69450,11064,7936,11064,9622
69450,69500,11075,7942,11075,9633
69500,69550,11086,7948,11086,9644
69550,69600,11097,7954,11097,9655
69600,69650,11108,7960,11108,9666
69650,69700,11119,7966,11119,9677
69700,69750,11130,7972,11130,9688
69750,69800,11141,7978,11141,9699
69800,69850,11152,7984,11152,9710
69850,69900,11163,7990,11163,9721
69900,69950,11174,7996,11174,9732
69950,70000,11185,8002,11185,9743
70000,70050,11196,8008,11196,9754
70050,70100,11207,8014,11207,9765
70100,70150,11218,8020,11218,9776
70150,70200,11229,8026,11229,9787
70200,70250,11240,8032,11240,9798
70250,70300,11251,8038,11251,9809
70300,70350,11262,8044,11262,9820
70350,70400,11273,8050,11273,9831
70400,70450,11284,8056,11284,9842
70450,70500,11295,8062,11295,9853
70500,70550,11306,8068,11306,9864
70550,70600,11317,8074,11317,9875
70600,70650,11328,8080,11328,9886
70650,70700,11339,8086,11339,9897
70700,70750,11350,8092,11350,9908
70750,70800,11361,8098,11361,9919
70800,70850,11372,8104,11372,9930
70850,70900,11383,8110,11383,9941
70900,70950,11394,8116,11394,9952
70950,71000,11405,8122,11405,9963
71000,71050,11416,8128,11416,9974
71050,71100,11427,8134,11427,9985
71100,71150,11438,8140,11438,9996
71150,71200,11449,8146,11449,10007
71200,71250,11460,8152,11460,10018
71250,71300,11471,8158,11471,10029
71300,71350,11482,8164,11482,10040
71350,71400,11493,8170,11493,10051
71400,71450,11504,8176,11504,10062
71450,71500,11515,8182,11515,10073
71500,71550,11526,8188,11526,10084
71550,71600,11537,8194,11537,10095
71600,71650,11548,8200,11548,10106
71650,71700,11559,8206,11559,10117
71700,71750,11570,8212,11570,10128
71750,71800,11581,8218,11581,10139
71800,71850,11592,8224,11592,10150
71850,71900,11603,8230,11603,10161
71900,71950,11614,8236,11614,10172
71950,72000,11625,8242,11625,10183
72000,72050,11636,8248,11636,10194
72050,72100,11647,8254,11647,10205
72100,72150,11658,8260,11658,10216
72150,72200,11669,8266,11669,10227
72200,72250,11680,8272,11680,10238
72250,72300,11691,8278,11691,10249
72300,72350,11702,8284,11702,10260
72350,72400,11713,8290,11713,10271
72400,72450,11724,8296,11724,10282
72450,72500,11735,8302,11735,10293
72500,72550,11746,8308,11746,10304
72550,72600,11757,8314,11757,10315
72600,72650,11768,8320,11768,10326
72650,72700,11779,8326,11779,10337
72700,72750,11790,8332,11790,10348
72750,72800,11801,8338,11801,10359
72800,72850,11812,8344,11812,10370
72850,72900,11823,8350,11823,10381
72900,72950,11834,8356,11834,10392
72950,73000,11845,8362,11845,10403
73000,73050,11856,8368,11856,10414
73050,73100,11867,8374,11867,10425
73100,73150,11878,8380,11878,10436
73150,73200,11889,8386,11889,10447
73200,73250,11900,8392,11900,10458
73250,73300,11911,8398,11911,10469
73300,73350,11922,8404,11922,10480
73350,73400,11933,8410,11933,10491
73400,73450,11944,8416,11944,10502
73450,73500,11955,8422,11955,10513
73500,73550,11966,8428,11966,10524
73550,73600,11977,8434,11977,10535
73600,73650,11988,8440,11988,10546
73650,73700,11999,8446,11999,10557
73700,73750,12010,8452,12010,10568
73750,73800,12021,8458,12021,10579
73800,73850,12032,8464,12032,10590
73850,73900,12043,8470,12043,10601
73900,73950,12054,8476,12054,10612
73950,74000,12065,8482,12065,10623
74000,74050,12076,8488,12076,10634
74050,74100,12087,8494,12087,10645
74100,74150,12098,8500,12098,10656
74150,74200,12109,8506,12109,10667
74200,74250,12120,8512,12120,10678
74250,74300,12131,8518,12131,10689
74300,74350,12142,8524,12142,10700
74350,74400,12153,8530,12153,10711
74400,74450,12164,8536,12164,10722
74450,74500,12175,8542,12175,10733
74500,74550,12186,8548,12186,10744
74550,74600,12197,8554,12197,10755
74600,74650,12208,8560,12208,10766
74650,74700,12219,8566,12219,10777
74700,74750,12230,8572,12230,10788
74750,74800,12241,8578,12241,10799
74800,74850,12252,8584,12252,10810
74850,74900,12263,8590,12263,10821
74900,74950,12274,8596,12274,10832
74950,75000,12285,8602,12285,10843
75000,75050,12296,8608,12296,10854
75050,75100,12307,8614,12307,10865
75100,75150,12318,8620,12318,10876
75150,75200,12329,8626,12329,10887
75200,75250,12340,8632,12340,10898
75250,75300,12351,8638,12351,10909
75300,75350,12362,8644,12362,10920
75350,75400,12373,8650,12373,10931
75400,75450,12384,8656,12384,10942
75450,75500,12395,8662,12395,10953
75500,75550,12406,8668,12406,10964
75550,75600,12417,8674,12417,10975
75600,75650,12428,8680,12428,10986
75650,75700,12439,8686,12439,10997
75700,75750,12450,8692,12450,11008
75750,75800,12461,8698,12461,11019
75800,75850,12472,8704,12472,11030
75850,75900,12483,8710,12483,11041
75900,75950,12494,8716,12494,11052
75950,76000,12505,8722,12505,11063
76000,76050,12516,8728,12516,11074
76050,76100,12527,8734,12527,11085
76100,76150,12538,8740,12538,11096
76150,76200,12549,8746,12549,11107
76200,76250,12560,8752,12560,11118
76250,76300,12571,8758,12571,11129
76300,76350,12582,8764,12582,11140
76350,76400,12593,8770,12593,11151
76400,76450,12604,8776,12604,11162
76450,76500,12615,8782,12615,11173
76500,76550,12626,8788,12626,11184
76550,76600,12637,8794,12637,11195
76600,76650,12648,8800,12648,11206
76650,76700,12659,8806,12659,11217
