min,max,single,married_filing_jointly,married_filing_separately,head_of_household
81950,82000,13825,9615,13825,12383
82000,82050,13836,9626,13836,12394
82050,82100,13847,9637,13847,12405
82100,82150,13858,9648,13858,12416
82150,82200,13869,9659,13869,12427
82200,82250,13880,9670,13880,12438
82250,82300,13891,9681,13891,12449
82300,82350,13902,9692,13902,12460
82350,82400,13913,9703,13913,12471
82400,82450,13924,9714,13924,12482
82450,82500,13935,9725,13935,12493
82500,82550,13946,9736,13946,12504
82550,82600,13957,9747,13957,12515
82600,82650,13968,9758,13968,12526
82650,82700,13979,9769,13979,12537
82700,82750,13990,9780,13990,12548
82750,82800,14001,9791,14001,12559
82800,82850,14012,9802,14012,12570
82850,82900,14023,9813,14023,12581
82900,82950,14034,9824,14034,12592
82950,83000,14045,9835,14045,12603
83000,83050,14056,9846,14056,12614
83050,83100,14067,9857,14067,12625
83100,83150,14078,9868,14078,12636
83150,83200,14089,9879,14089,12647
83200,83250,14100,9890,14100,12658
83250,83300,14111,9901,14111,12669
83300,83350,14122,9912,14122,12680
83350,83400,14133,9923,14133,12691
83400,83450,14144,9934,14144,12702
83450,83500,14155,9945,14155,12713
83500,83550,14166,9956,14166,12724
83550,83600,14177,9967,14177,12735
83600,83650,14188,9978,14188,12746
83650,83700,14199,9989,14199,12757
83700,83750,14210,10000,14210,12768
83750,83800,14221,10011,14221,12779
83800,83850,14232,10022,14232,12790
83850,83900,14243,10033,14243,12801
83900,83950,14254,10044,14254,12812
83950,84000,14265,10055,14265,12823
84000,84050,14276,10066,14276,12834
84050,84100,14287,10077,14287,12845
84100,84150,14298,10088,14298,12856
84150,84200,14309,10099,14309,12867
84200,84250,14320,10110,14320,12878
84250,84300,14331,10121,14331,12889
84300,84350,14342,10132,14342,12900
84350,84400,14353,10143,14353,12911
84400,84450,14364,10154,14364,12922
84450,84500,14375,10165,14375,12933
84500,84550,14386,10176,14386,12944
84550,84600,14397,10187,14397,12955
84600,84650,14408,10198,14408,12966
84650,84700,14419,10209,14419,12977
84700,84750,14430,10220,14430,12988
84750,84800,14441,10231,14441,12999
84800,84850,14452,10242,14452,13010
84850,84900,14463,10253,14463,13021
84900,84950,14474,10264,14474,13032
84950,85000,14485,10275,14485,13043
85000,85050,14496,10286,14496,13054
85050,85100,14507,10297,14507,13065
85100,85150,14518,10308,14518,13076
85150,85200,14529,10319,14529,13087
85200,85250,14540,10330,14540,13098
85250,85300,14551,10341,14551,13109
85300,85350,14562,10352,14562,13120
85350,85400,14573,10363,14573,13131
85400,85450,14584,10374,14584,13142
85450,85500,14595,10385,14595,13153
85500,85550,14606,10396,14606,13164
85550,85600,14618,10407,14618,13176
85600,85650,14630,10418,14630,13188
85650,85700,14642,10429,14642,13200
85700,85750,14654,10440,14654,13212
85750,85800,14666,10451,14666,13224
85800,85850,14678,10462,14678,13236
85850,85900,14690,10473,14690,13248
85900,85950,14702,10484,14702,13260
85950,86000,14714,10495,14714,13272
86000,86050,14726,10506,14726,13284
86050,86100,14738,10517,14738,13296
86100,86150,14750,10528,14750,13308
86150,86200,14762,10539,14762,13320
86200,86250,14774,10550,14774,13332
86250,86300,14786,10561,14786,13344
86300,86350,14798,10572,14798,13356
86350,86400,14810,10583,14810,13368
86400,86450,14822,10594,14822,13380
86450,86500,14834,10605,14834,13392
86500,86550,14846,10616,14846,13404
86550,86600,14858,10627,14858,13416
86600,86650,14870,10638,14870,13428
86650,86700,14882,10649,14882,13440
86700,86750,14894,10660,14894,13452
86750,86800,14906,10671,14906,13464
86800,86850,14918,10682,14918,13476
86850,86900,14930,10693,14930,13488
86900,86950,14942,10704,14942,13500
86950,87000,14954,10715,14954,13512
87000,87050,14966,10726,14966,13524
87050,87100,14978,10737,14978,13536
87100,87150,14990,10748,14990,13548
87150,87200,15002,10759,15002,13560
87200,87250,15014,10770,15014,13572
87250,87300,15026,10781,15026,13584
87300,87350,15038,10792,15038,13596
87350,87400,15050,10803,15050,13608
87400,87450,15062,10814,15062,13620
87450,87500,15074,10825,15074,13632
87500,87550,15086,10836,15086,13644
87550,87600,15098,10847,15098,13656
87600,87650,15110,10858,15110,13668
87650,87700,15122,10869,15122,13680
87700,87750,15134,10880,15134,13692
87750,87800,15146,10891,15146,13704
87800,87850,15158,10902,15158,13716
87850,87900,15170,10913,15170,13728
87900,87950,15182,10924,15182,13740
87950,88000,15194,10935,15194,13752
88000,88050,15206,10946,15206,13764
88050,88100,15218,10957,15218,13776
88100,88150,15230,10968,15230,13788
88150,88200,15242,10979,15242,13800
88200,88250,15254,10990,15254,13812
88250,88300,15266,11001,15266,13824
88300,88350,15278,11012,15278,13836
88350,88400,15290,11023,15290,13848
88400,88450,15302,11034,15302,13860
88450,88500,15314,11045,15314,13872
88500,88550,15326,11056,15326,13884
88550,88600,15338,11067,15338,13896
88600,88650,15350,11078,15350,13908
88650,88700,15362,11089,15362,13920
88700,88750,15374,11100,15374,13932
88750,88800,15386,11111,15386,13944
88800,88850,15398,11122,15398,13956
88850,88900,15410,11133,15410,13968
88900,88950,15422,11144,15422,13980
88950,89000,15434,11155,15434,13992
89000,89050,15446,11166,15446,14004
89050,89100,15458,11177,15458,14016
89100,89150,15470,11188,15470,14028
89150,89200,15482,11199,15482,14040
89200,89250,15494,11210,15494,14052
89250,89300,15506,11221,15506,14064
89300,89350,15518,11232,15518,14076
89350,89400,15530,11243,15530,14088
89400,89450,15542,11254,15542,14100
89450,89500,15554,11265,15554,14112
89500,89550,15566,11276,15566,14124
89550,89600,15578,11287,15578,14136
89600,89650,15590,11298,15590,14148
89650,89700,15602,11309,15602,14160
89700,89750,15614,11320,15614,14172
89750,89800,15626,11331,15626,14184
89800,89850,15638,11342,15638,14196
89850,89900,15650,11353,15650,14208
89900,89950,15662,11364,15662,14220
89950,90000,15674,11375,15674,14232
90000,90050,15686,11386,15686,14244
90050,90100,15698,11397,15698,14256
90100,90150,15710,11408,15710,14268
90150,90200,15722,11419,15722,14280
90200,90250,15734,11430,15734,14292
90250,90300,15746,11441,15746,14304
90300,90350,15758,11452,15758,14316
90350,90400,15770,11463,15770,14328
90400,90450,15782,11474,15782,14340
90450,90500,15794,11485,15794,14352
90500,90550,15806,11496,15806,14364
90550,90600,15818,11507,15818,14376
90600,90650,15830,11518,15830,14388
90650,90700,15842,11529,15842,14400
90700,90750,15854,11540,15854,14412
90750,90800,15866,11551,15866,14424
90800,90850,15878,11562,15878,14436
90850,90900,15890,11573,15890,14448
90900,90950,15902,11584,15902,14460
90950,91000,15914,11595,15914,14472
91000,91050,15926,11606,15926,14484
91050,91100,15938,11617,15938,14496
91100,91150,15950,11628,15950,14508
91150,91200,15962,11639,15962,14520
91200,91250,15974,11650,15974,14532
91250,91300,15986,11661,15986,14544
91300,91350,15998,11672,15998,14556
91350,91400,16010,11683,16010,14568
91400,91450,16022,11694,16022,14580
91450,91500,16034,11705,16034,14592
91500,91550,16046,11716,16046,14604
91550,91600,16058,11727,16058,14616
91600,91650,16070,11738,16070,14628
91650,91700,16082,11749,16082,14640
91700,91750,16094,11760,16094,14652
91750,91800,16106,11771,16106,14664
91800,91850,16118,11782,16118,14676
91850,91900,16130,11793,16130,14688
91900,91950,16142,11804,16142,14700
91950,92000,16154,11815,16154,14712
92000,92050,16166,11826,16166,14724
92050,92100,16178,11837,16178,14736
92100,92150,16190,11848,16190,14748
92150,92200,16202,11859,16202,14760
92200,92250,16214,11870,16214,14772
92250,92300,16226,11881,16226,14784
92300,92350,16238,11892,16238,14796
92350,92400,16250,11903,16250,14808
92400,92450,16262,11914,16262,14820
92450,92500,16274,11925,16274,14832
92500,92550,16286,11936,16286,14844
92550,92600,16298,11947,16298,14856
92600,92650,16310,11958,16310,14868
92650,92700,16322,11969,16322,14880
92700,92750,16334,11980,16334,14892
92750,92800,16346,11991,16346,14904
92800,92850,16358,12002,16358,14916
92850,92900,16370,12013,16370,14928
92900,92950,16382,12024,16382,14940
92950,93000,16394,12035,16394,14952
93000,93050,16406,12046,16406,14964
93050,93100,16418,12057,16418,14976
93100,93150,16430,12068,16430,14988
93150,93200,16442,12079,16442,15000
93200,93250,16454,12090,16454,15012
93250,93300,16466,12101,16466,15024
93300,93350,16478,12112,16478,15036
93350,93400,16490,12123,16490,15048
93400,93450,16502,12134,16502,15060
93450,93500,16514,12145,16514,15072
93500,93550,16526,12156,16526,15084
93550,93600,16538,12167,16538,15096
93600,93650,16550,12178,16550,15108
93650,93700,16562,12189,16562,15120
93700,93750,16574,12200,16574,15132
93750,93800,16586,12211,16586,15144
93800,93850,16598,12222,16598,15156
93850,93900,16610,12233,16610,15168
93900,93950,16622,12244,16622,15180
93950,94000,16634,12255,16634,15192
94000,94050,16646,12266,16646,15204
94050,94100,16658,12277,16658,15216
94100,94150,16670,12288,16670,15228
94150,94200,16682,12299,16682,15240
94200,94250,16694,12310,16694,15252
94250,94300,16706,12321,16706,15264
94300,94350,16718,12332,16718,15276
94350,94400,16730,12343,16730,15288
94400,94450,16742,12354,16742,15300
94450,94500,16754,12365,16754,15312
94500,94550,16766,12376,16766,15324
94550,94600,16778,12387,16778,15336
94600,94650,16790,12398,16790,15348
94650,94700,16802,12409,16802,15360
94700,94750,16814,12420,16814,15372
94750,94800,16826,12431,16826,15384
94800,94850,16838,12442,16838,15396
94850,94900,16850,12453,16850,15408
94900,94950,16862,12464,16862,15420
94950,95000,16874,12475,16874,15432
95000,95050,16886,12486,16886,15444
95050,95100,16898,12497,16898,15456
95100,95150,16910,12508,16910,15468
95150,95200,16922,12519,16922,15480
95200,95250,16934,12530,16934,15492
95250,95300,16946,12541,16946,15504
95300,95350,16958,12552,16958,15516
95350,95400,16970,12563,16970,15528
95400,95450,16982,12574,16982,15540
95450,95500,16994,12585,16994,15552
95500,95550,17006,12596,17006,15564
95550,95600,17018,12607,17018,15576
95600,95650,17030,12618,17030,15588
95650,95700,17042,12629,17042,15600
95700,95750,17054,12640,17054,15612
95750,95800,17066,12651,17066,15624
95800,95850,17078,12662,17078,15636
95850,95900,17090,12673,17090,15648
95900,95950,17102,12684,17102,15660
95950,96000,17114,12695,17114,15672
96000,96050,17126,12706,17126,15684
96050,96100,17138,12717,17138,15696
96100,96150,17150,12728,17150,15708
96150,96200,17162,12739,17162,15720
96200,96250,17174,12750,17174,15732
96250,96300,17186,12761,17186,15744
96300,96350,17198,12772,17198,15756
96350,96400,17210,12783,17210,15768
96400,96450,17222,12794,17222,15780
96450,96500,17234,12805,17234,15792
96500,96550,17246,12816,17246,15804
96550,96600,17258,12827,17258,15816
96600,96650,17270,12838,17270,15828
96650,96700,17282,12849,17282,15840
96700,96750,17294,12860,17294,15852
96750,96800,17306,12871,17306,15864
96800,96850,17318,12882,17318,15876
96850,96900,17330,12893,17330,15888
96900,96950,17342,12904,17342,15900
96950,97000,17354,12915,17354,15912
97000,97050,17366,12926,17366,15924
97050,97100,17378,12937,17378,15936
97100,97150,17390,12948,17390,15948
97150,97200,17402,12959,17402,15960
97200,97250,17414,12970,17414,15972
97250,97300,17426,12981,17426,15984
97300,97350,17438,12992,17438,15996
97350,97400,17450,13003,17450,16008
97400,97450,17462,13014,17462,16020
97450,97500,17474,13025,17474,16032
97500,97550,17486,13036,17486,16044
97550,97600,17498,13047,17498,16056
97600,97650,17510,13058,17510,16068
97650,97700,17522,13069,17522,16080
97700,97750,17534,13080,17534,16092
97750,97800,17546,13091,17546,16104
97800,97850,17558,13102,17558,16116
97850,97900,17570,13113,17570,16128
97900,97950,17582,13124,17582,16140
97950,98000,17594,13135,17594,16152
98000,98050,17606,13146,17606,16164
98050,98100,17618,13157,17618,16176
98100,98150,17630,13168,17630,16188
98150,98200,17642,13179,17642,16200
98200,98250,17654,13190,17654,16212
98250,98300,17666,13201,17666,16224
98300,98350,17678,13212,17678,16236
98350,98400,17690,13223,17690,16248
98400,98450,17702,13234,17702,16260
98450,98500,17714,13245,17714,16272
98500,98550,17726,13256,17726,16284
98550,98600,17738,13267,17738,16296
98600,98650,17750,13278,17750,16308
98650,98700,17762,13289,17762,16320
98700,98750,17774,13300,17774,16332
98750,98800,17786,13311,17786,16344
98800,98850,17798,13322,17798,16356
98850,98900,17810,13333,17810,16368
98900,98950,17822,13344,17822,16380
98950,99000,17834,13355,17834,16392
99000,99050,17846,13366,17846,16404
99050,99100,17858,13377,17858,16416
99100,99150,17870,13388,17870,16428
99150,99200,17882,13399,17882,16440
99200,99250,17894,13410,17894,16452
99250,99300,17906,13421,17906,16464
99300,99350,17918,13432,17918,16476
99350,99400,17930,13443,17930,16488
99400,99450,17942,13454,17942,16500
99450,99500,17954,13465,17954,16512
99500,99550,17966,13476,17966,16524
99550,99600,17978,13487,17978,16536
99600,99650,17990,13498,17990,16548
99650,99700,18002,13509,18002,16560
99700,99750,18014,13520,18014,16572
99750,99800,18026,13531,18026,16584
99800,99850,18038,13542,18038,16596
99850,99900,18050,13553,18050,16608
99900,99950,18062,13564,18062,16620
99950,100000,18074,13575,18074,16632
